run,iterations,city,ants,Initialize Datastructures and Skeletons,Read Data and Copy to Device,Calculate Distance,Calculate Iroulette,Average of Route Kernel,Average of update delta phero,Average of  minKernel,Average of  update phero and best_route,total time,
5,15,3,2048,0.00720,0.00129,0.00004,0.01118,0.04160,0.00088,0.00004,0.00016,0.79583, 
6,15,3,2048,0.00760,0.00127,0.00004,0.01118,0.04160,0.00088,0.00004,0.00016,0.78836, 
7,15,3,2048,0.00727,0.00131,0.00005,0.01117,0.04156,0.00088,0.00004,0.00016,0.78747, 
8,15,3,2048,0.00753,0.00129,0.00004,0.01118,0.04159,0.00088,0.00004,0.00016,0.78911, 
9,15,3,2048,0.00742,0.00130,0.00004,0.01117,0.04162,0.00088,0.00004,0.00016,0.78710, 
10,15,3,2048,0.00723,0.00134,0.00004,0.01117,0.04160,0.00088,0.00004,0.00016,0.83174, 
11,15,3,2048,0.00759,0.00130,0.00005,0.01118,0.04153,0.00088,0.00004,0.00016,0.79403, 
12,15,3,2048,0.00762,0.00136,0.00005,0.01118,0.04160,0.00088,0.00004,0.00016,0.83801, 
13,15,3,2048,0.00766,0.00135,0.00005,0.01118,0.04155,0.00088,0.00004,0.00016,0.79654, 
14,15,3,2048,0.00803,0.00130,0.00004,0.01118,0.04164,0.00088,0.00004,0.00016,0.83284, 
15,15,3,2048,0.00751,0.00129,0.00005,0.01118,0.04160,0.00088,0.00004,0.00016,0.78889, 
16,15,3,2048,0.00769,0.00133,0.00005,0.01118,0.04337,0.00088,0.00004,0.00016,0.83035, 
17,15,3,2048,0.00754,0.00131,0.00005,0.01118,0.04158,0.00088,0.00004,0.00016,0.78883, 
18,15,3,2048,0.00750,0.00131,0.00006,0.01118,0.04160,0.00088,0.00004,0.00016,0.79701, 
19,15,3,2048,0.00752,0.00129,0.00005,0.01118,0.04167,0.00088,0.00004,0.00016,0.79097, 
20,15,3,2048,0.00742,0.00133,0.00004,0.01118,0.04167,0.00088,0.00004,0.00016,0.83831, 
21,15,3,2048,0.00755,0.00129,0.00005,0.01118,0.04168,0.00088,0.00004,0.00016,0.79584, 
22,15,3,2048,0.00770,0.00134,0.00005,0.01119,0.04307,0.00088,0.00004,0.00016,0.82496, 
23,15,3,2048,0.00752,0.00131,0.00005,0.01118,0.04181,0.00088,0.00004,0.00016,0.79356, 
24,15,3,2048,0.00760,0.00130,0.00006,0.01128,0.04199,0.00088,0.00004,0.00016,0.83863, 
25,15,3,2048,0.00755,0.00128,0.00005,0.01127,0.04192,0.00088,0.00004,0.00016,0.80002, 
26,15,3,2048,0.00752,0.00129,0.00004,0.01128,0.04359,0.00088,0.00004,0.00016,0.83506, 
27,15,3,2048,0.00776,0.00133,0.00005,0.01530,0.04479,0.00094,0.00004,0.00017,0.85727, 
28,15,3,2048,0.00741,0.00131,0.00005,0.01127,0.04189,0.00088,0.00004,0.00016,0.79390, 
29,15,3,2048,0.00757,0.00130,0.00005,0.01128,0.04195,0.00088,0.00004,0.00016,0.79815, 
30,15,3,2048,0.00706,0.00130,0.00005,0.01128,0.04193,0.00088,0.00004,0.00016,0.79677, 
1,15,3,4096,0.01187,0.00129,0.00005,0.01126,0.05101,0.00090,0.00004,0.00016,0.93722, 
2,15,3,4096,0.01173,0.00134,0.00004,0.01127,0.05098,0.00090,0.00004,0.00016,0.94561, 
3,15,3,4096,0.01146,0.00131,0.00005,0.01126,0.05085,0.00090,0.00004,0.00016,0.93534, 
4,15,3,4096,0.01243,0.00132,0.00004,0.01126,0.05091,0.00090,0.00004,0.00016,0.94012, 
5,15,3,4096,0.01181,0.00136,0.00005,0.01126,0.05100,0.00090,0.00004,0.00016,0.93587, 
6,15,3,4096,0.01222,0.00133,0.00005,0.01126,0.05097,0.00090,0.00004,0.00016,0.97319, 
7,15,3,4096,0.01184,0.00131,0.00005,0.01126,0.05097,0.00090,0.00004,0.00016,0.94141, 
8,15,3,4096,0.01176,0.00134,0.00005,0.01127,0.05092,0.00090,0.00004,0.00016,0.97521, 
9,15,3,4096,0.01150,0.00130,0.00005,0.01126,0.05081,0.00090,0.00004,0.00016,0.93834, 
10,15,3,4096,0.01184,0.00130,0.00005,0.01126,0.05095,0.00090,0.00004,0.00016,0.93561, 
11,15,3,4096,0.01181,0.00132,0.00005,0.01126,0.05092,0.00090,0.00004,0.00016,0.94168, 
12,15,3,4096,0.01140,0.00132,0.00005,0.01126,0.05091,0.00090,0.00004,0.00016,0.93234, 
13,15,3,4096,0.01189,0.00139,0.00005,0.01126,0.05086,0.00090,0.00004,0.00016,0.93277, 
14,15,3,4096,0.01142,0.00134,0.00006,0.01127,0.05089,0.00090,0.00004,0.00016,0.93605, 
15,15,3,4096,0.01221,0.00134,0.00005,0.01127,0.05267,0.00090,0.00004,0.00016,1.00262, 
16,15,3,4096,0.01179,0.00132,0.00005,0.01126,0.05089,0.00090,0.00004,0.00016,0.93881, 
17,15,3,4096,0.01159,0.00137,0.00004,0.01126,0.05092,0.00090,0.00004,0.00016,0.97555, 
18,15,3,4096,0.01183,0.00133,0.00005,0.01126,0.05087,0.00090,0.00004,0.00016,0.93367, 
19,15,3,4096,0.01183,0.00132,0.00005,0.01127,0.05086,0.00090,0.00004,0.00016,0.94100, 
20,15,3,4096,0.01148,0.00131,0.00005,0.01127,0.05102,0.00091,0.00004,0.00016,0.93602, 
21,15,3,4096,0.01139,0.00131,0.00005,0.01128,0.05096,0.00090,0.00004,0.00016,0.93819, 
22,15,3,4096,0.03877,0.00146,0.00005,0.01128,0.05084,0.00090,0.00004,0.00016,0.96732, 
23,15,3,4096,0.01175,0.00131,0.00006,0.01128,0.05092,0.00090,0.00004,0.00016,0.94154, 
24,15,3,4096,0.01176,0.00135,0.00005,0.01127,0.05102,0.00090,0.00004,0.00016,0.97926, 
25,15,3,4096,0.01177,0.00132,0.00005,0.01127,0.05092,0.00090,0.00004,0.00016,0.93697, 
26,15,3,4096,0.01227,0.00131,0.00004,0.01128,0.05090,0.00090,0.00004,0.00016,0.97752, 
27,15,3,4096,0.01184,0.00131,0.00005,0.01128,0.05086,0.00090,0.00004,0.00016,0.94064, 
28,15,3,4096,0.01193,0.00130,0.00005,0.01127,0.05095,0.00091,0.00004,0.00016,0.94303, 
29,15,3,4096,0.01184,0.00134,0.00004,0.01127,0.05097,0.00090,0.00004,0.00016,0.93896, 
30,15,3,4096,0.01184,0.00130,0.00005,0.01127,0.05091,0.00090,0.00004,0.00016,0.93779, 
1,15,3,8192,0.02115,0.00144,0.00005,0.01128,0.10431,0.00097,0.00005,0.00016,1.76658, 
2,15,3,8192,0.02224,0.00141,0.00005,0.01128,0.10348,0.00097,0.00004,0.00016,1.77228, 
3,15,3,8192,0.02101,0.00150,0.00005,0.01128,0.10428,0.00097,0.00004,0.00016,1.74830, 
4,15,3,8192,0.02064,0.00142,0.00005,0.01129,0.10347,0.00097,0.00004,0.00016,1.74294, 
5,15,3,8192,0.02085,0.00141,0.00006,0.01128,0.10338,0.00097,0.00004,0.00016,1.73357, 
6,15,3,8192,0.02080,0.00139,0.00005,0.01130,0.10343,0.00097,0.00004,0.00016,1.73795, 
7,15,3,8192,0.02046,0.00141,0.00005,0.01129,0.10342,0.00097,0.00004,0.00016,1.73527, 
8,15,3,8192,0.02078,0.00140,0.00005,0.01129,0.10407,0.00098,0.00004,0.00016,1.74972, 
9,15,3,8192,0.02088,0.00140,0.00006,0.01137,0.10411,0.00098,0.00004,0.00016,1.75207, 
10,15,3,8192,0.02082,0.00140,0.00005,0.01137,0.10411,0.00098,0.00004,0.00016,1.75182, 
11,15,3,8192,0.02076,0.00140,0.00005,0.01137,0.10410,0.00098,0.00004,0.00016,1.75196, 
12,15,3,8192,0.02079,0.00138,0.00005,0.01137,0.10421,0.00098,0.00004,0.00016,1.75628, 
13,15,3,8192,0.02041,0.00139,0.00005,0.01138,0.10417,0.00098,0.00004,0.00016,1.74985, 
14,15,3,8192,0.02128,0.00142,0.00005,0.01529,0.10763,0.00100,0.00004,0.00017,1.85615, 
15,15,3,8192,0.02104,0.00141,0.00007,0.01137,0.10426,0.00098,0.00004,0.00016,1.74851, 
16,15,3,8192,0.02085,0.00139,0.00005,0.01137,0.10419,0.00098,0.00004,0.00016,1.75305, 
17,15,3,8192,0.02050,0.00140,0.00005,0.01138,0.10425,0.00098,0.00004,0.00016,1.75025, 
18,15,3,8192,0.02049,0.00140,0.00005,0.01137,0.10424,0.00098,0.00004,0.00016,1.75079, 
19,15,3,8192,0.02092,0.00137,0.00005,0.01137,0.10420,0.00098,0.00004,0.00016,1.74633, 
20,15,3,8192,0.02189,0.00138,0.00005,0.01137,0.10423,0.00098,0.00005,0.00016,1.79155, 
21,15,3,8192,0.02095,0.00139,0.00005,0.01137,0.10419,0.00098,0.00004,0.00016,1.75164, 
22,15,3,8192,0.02090,0.00140,0.00005,0.01137,0.10413,0.00098,0.00004,0.00016,1.76465, 
23,15,3,8192,0.02048,0.00142,0.00005,0.01137,0.10418,0.00098,0.00004,0.00016,1.77617, 
24,15,3,8192,0.02085,0.00140,0.00005,0.01137,0.10422,0.00098,0.00004,0.00016,1.75224, 
25,15,3,8192,0.02188,0.00139,0.00005,0.01138,0.10422,0.00098,0.00005,0.00016,1.79011, 
26,15,3,8192,0.04410,0.00153,0.00005,0.01137,0.10423,0.00098,0.00005,0.00016,1.79113, 
27,15,3,8192,0.02163,0.00142,0.00006,0.01139,0.10423,0.00098,0.00005,0.00016,1.78928, 
28,15,3,8192,0.02164,0.00147,0.00006,0.01139,0.10414,0.00098,0.00005,0.00016,1.78916, 
29,15,3,8192,0.02187,0.00150,0.00005,0.01137,0.10413,0.00098,0.00005,0.00016,1.78478, 
30,15,3,8192,0.02144,0.00144,0.00005,0.01138,0.10430,0.00098,0.00005,0.00016,1.79951, 
1,15,5,1024,0.00504,0.01784,0.00005,0.01180,0.04476,0.00086,0.00003,0.00016,0.89177, 
2,15,5,1024,0.00456,0.00132,0.00005,0.01178,0.04475,0.00086,0.00003,0.00016,0.83441, 
3,15,5,1024,0.00475,0.00137,0.00005,0.01178,0.04474,0.00086,0.00003,0.00016,0.83729, 
4,15,5,1024,0.00452,0.00133,0.00005,0.01179,0.04486,0.00086,0.00003,0.00016,0.83988, 
