 run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ;
 0; 15; 5; 2048; 0.00007; 0.00076; 0.00005; 0.00205;  0.05992; 0.00046;  0.00046; 0.00005 ;  17686.315535 ; 0.913613 ;
 1; 15; 5; 2048; 0.00008; 0.00074; 0.00005; 0.00205;  0.05989; 0.00046;  0.00046; 0.00002 ;  17742.446234 ; 0.913003 ;
 2; 15; 5; 2048; 0.00009; 0.00077; 0.00005; 0.00205;  0.05994; 0.00046;  0.00046; 0.00002 ;  17386.574270 ; 0.913698 ;
 3; 15; 5; 2048; 0.00008; 0.00075; 0.00005; 0.00205;  0.05998; 0.00046;  0.00046; 0.00002 ;  17818.186714 ; 0.914597 ;
 4; 15; 5; 2048; 0.00008; 0.00076; 0.00005; 0.00205;  0.06015; 0.00046;  0.00046; 0.00002 ;  17879.505592 ; 0.917149 ;
 0; 15; 5; 4096; 0.00008; 0.00075; 0.00005; 0.00205;  0.06779; 0.00089;  0.00089; 0.00002 ;  17624.750867 ; 1.041135 ;
 1; 15; 5; 4096; 0.00009; 0.00075; 0.00005; 0.00205;  0.06718; 0.00089;  0.00089; 0.00002 ;  17718.500044 ; 1.032200 ;
 2; 15; 5; 4096; 0.00009; 0.00074; 0.00005; 0.00205;  0.06757; 0.00089;  0.00089; 0.00005 ;  17711.783367 ; 1.038012 ;
 3; 15; 5; 4096; 0.00009; 0.00072; 0.00005; 0.00205;  0.06749; 0.00089;  0.00089; 0.00002 ;  17357.802863 ; 1.037121 ;
 4; 15; 5; 4096; 0.00010; 0.00074; 0.00006; 0.00205;  0.06762; 0.00089;  0.00089; 0.00002 ;  17756.189536 ; 1.038903 ;
 0; 15; 5; 8192; 0.00010; 0.00074; 0.00005; 0.00207;  0.11597; 0.00176;  0.00176; 0.00002 ;  17437.311901 ; 1.784042 ;
 1; 15; 5; 8192; 0.00011; 0.00072; 0.00005; 0.00207;  0.11615; 0.00176;  0.00176; 0.00006 ;  17316.862169 ; 1.786798 ;
 2; 15; 5; 8192; 0.00010; 0.00077; 0.00005; 0.00207;  0.11623; 0.00176;  0.00176; 0.00002 ;  17317.849692 ; 1.788395 ;
 3; 15; 5; 8192; 0.00011; 0.00079; 0.00005; 0.00207;  0.11573; 0.00176;  0.00176; 0.00002 ;  17507.632954 ; 1.781036 ;
 4; 15; 5; 8192; 0.00011; 0.00073; 0.00005; 0.00207;  0.11573; 0.00176;  0.00176; 0.00002 ;  17624.355662 ; 1.780603 ;
 0; 15; 6; 1024; 0.00255; 0.01913; 0.00211; 0.04567;  2.99900; 0.00890;  0.00890; 0.00019 ;  65118.998729 ; 45.342428 ;
 1; 15; 6; 1024; 0.00009; 0.01731; 0.00149; 0.03253;  3.01483; 0.00897;  0.00897; 0.00008 ;  65376.003606 ; 45.430566 ;
 2; 15; 6; 1024; 0.00255; 0.01913; 0.00211; 0.04567;  2.99900; 0.00890;  0.00890; 0.00019 ;  65118.998729 ; 45.342428 ;
 3; 15; 6; 1024; 0.00009; 0.01731; 0.00149; 0.03253;  3.01483; 0.00897;  0.00897; 0.00008 ;  65376.003606 ; 45.430566 ;
 4; 15; 6; 1024; 0.00255; 0.01913; 0.00211; 0.04567;  2.99900; 0.00890;  0.00890; 0.00019 ;  65118.998729 ; 45.342428 ;
 0; 15; 6; 2048; 0.00010; 0.01719; 0.00149; 0.03270;  3.22315; 0.01774;  0.01774; 0.00008 ;  64942.713970 ; 48.689567 ;
 1; 15; 6; 2048; 0.00010; 0.01668; 0.00151; 0.03273;  3.24690; 0.01793;  0.01793; 0.00007 ;  63615.633679 ; 49.046308 ;
